"scenario_id","decision_month","customer_unique_id","anchor_date","recommended_offer_type","final_policy_name","is_selected","net_ev_scn","incremental_profit_scn","expected_margin_value_scn","offer_cost_scn","expected_offer_cost_scn","p_offer_scn","priority_rank","cut_by_buffer_flag","missing_p_offer_flag","budget_amount","spend_expected_selected","spend_p95_selected","roi_expected","p95_overspend_flag_month","raw_overspend_flag_month"
BASE,2018-08-01 00:00:00.000 +0300,"801512ead4c9cbc98ecd208f45c975ec",2018-08-20,free_shipping,p95_buffer,1,1.4608783783783788,3.1368243243243246,154.75,19.08,1.6759459459459458,0.08783783783783784,1,0,0,58.72735155131334,4.038783783783784,16.741348952587376,1.5535893532305014,0,0
BASE,2018-08-01 00:00:00.000 +0300,"494e887fef923d79982b3c0e1ab49cdd",2018-08-03,free_shipping,p95_buffer,1,0.5297466216216216,1.9773141891891892,97.5475,16.48,1.4475675675675677,0.08783783783783784,2,0,0,58.72735155131334,4.038783783783784,16.741348952587376,1.5535893532305014,0,0
BASE,2018-08-01 00:00:00.000 +0300,"272f0ffe236b0bf765e14f5a2b577a6b",2018-08-07,free_shipping,p95_buffer,1,0.24520270270270272,1.160472972972973,57.25,10.42,0.9152702702702703,0.08783783783783784,3,0,0,58.72735155131334,4.038783783783784,16.741348952587376,1.5535893532305014,0,0
LIFT_075,2017-08-01 00:00:00.000 +0300,"59d66d72939bc9497e19d89c61a96d5f",2017-08-24,free_shipping,p95_buffer,1,7.723935810810808,9.881756756756754,650.0,26.07,2.157820945945946,0.08277027027027027,1,0,0,32.314546099129,4.434866400491401,20.08175622614217,2.978877429534201,0,1
LIFT_075,2017-08-01 00:00:00.000 +0300,ca6d9bc2e717c2a0aa19d77a3bfa5398,2017-08-11,free_shipping,p95_buffer,1,1.052121212121211,3.3291666666666657,199.75,19.35,2.277045454545455,0.11767676767676767,2,0,0,32.314546099129,4.434866400491401,20.08175622614217,2.978877429534201,0,1
LIFT_075,2017-09-01 00:00:00.000 +0300,"165d93a9d1da194b47da42c9cf810ebd",2017-09-16,free_shipping,p95_buffer,1,0.31605681818181797,2.081208333333333,124.8725,15.0,1.7651515151515151,0.11767676767676767,1,0,0,27.688446218935482,1.7651515151515151,9.716053214059645,1.1790536480686693,0,0
LIFT_075,2018-01-01 00:00:00.000 +0300,ee3adea169ca02ca9bd1e80bc620856e,2018-01-04,free_shipping,p95_buffer,1,1.3660101010101005,2.9958333333333327,179.75,13.85,1.6298232323232322,0.11767676767676767,1,0,0,40.94318845122896,2.739772556647557,12.270721550371444,1.6482110987933862,0,0
LIFT_075,2018-01-01 00:00:00.000 +0300,"071fb07419a29c8ba143831082e0320a",2018-01-15,free_shipping,p95_buffer,1,0.409940878378378,1.5198902027027024,99.975,13.41,1.1099493243243244,0.08277027027027027,2,0,0,40.94318845122896,2.739772556647557,12.270721550371444,1.6482110987933862,0,0
LIFT_075,2018-02-01 00:00:00.000 +0300,cb4f48aa5b4657435b012a65f2a122eb,2018-02-24,free_shipping,p95_buffer,1,1.3557854729729724,3.0401604729729725,199.975,20.35,1.6843750000000002,0.08277027027027027,1,0,0,38.585132585402334,1.6843750000000002,10.908104623410019,1.804919019204733,0,0
LIFT_075,2018-03-01 00:00:00.000 +0300,b248c92ec54199bedb1d603e0e6f98c6,2018-03-06,free_shipping,p95_buffer,1,2.8255151515151504,5.833333333333332,350.0,25.56,3.0078181818181817,0.11767676767676767,1,0,0,59.47161976155465,3.937328316953317,18.410269063725558,1.731556980904462,0,0
LIFT_075,2018-03-01 00:00:00.000 +0300,"54732c804725f94304b9f2d1107a3d6e",2018-03-29,free_shipping,p95_buffer,1,0.05486486486486464,0.9843749999999998,64.75,11.23,0.9295101351351351,0.08277027027027027,2,0,0,59.47161976155465,3.937328316953317,18.410269063725558,1.731556980904462,0,0
LIFT_075,2018-04-01 00:00:00.000 +0300,"19bedfc18c92d4e7eb6ba318a6c2033c",2018-04-16,free_shipping,p95_buffer,1,1.39143581081081,3.723902027027026,244.95,28.18,2.332466216216216,0.08277027027027027,1,0,0,52.90745832048408,3.1841722972972972,16.781781665891042,1.5263948053877123,0,0
LIFT_075,2018-04-01 00:00:00.000 +0300,"038301b43811478e1a8dc0e476eaf52e",2018-04-24,free_shipping,p95_buffer,1,0.2846959459459457,1.1364020270270268,74.75,10.29,0.851706081081081,0.08277027027027027,2,0,0,52.90745832048408,3.1841722972972972,16.781781665891042,1.5263948053877123,0,0
LIFT_075,2018-05-01 00:00:00.000 +0300,"3a43af6775cec872d9a3c80707eb3336",2018-05-16,free_shipping,p95_buffer,1,0.14555555555555544,1.2458333333333331,74.75,9.35,1.1002777777777777,0.11767676767676767,1,0,0,51.80920640312676,4.104010885885886,21.28304509137793,1.0360079062771392,0,0
LIFT_075,2018-05-01 00:00:00.000 +0300,d27295915d486516b99c3aed8628e83b,2018-05-07,free_shipping,p95_buffer,1,0.002221283783783168,3.0059543918918914,197.725,36.29,3.0037331081081082,0.08277027027027027,2,0,0,51.80920640312676,4.104010885885886,21.28304509137793,1.0360079062771392,0,0
LIFT_075,2018-06-01 00:00:00.000 +0300,da8ac849037c7201a41a4db0b1fa963e,2018-06-11,free_shipping,p95_buffer,1,0.2492567567567563,1.3302364864864862,87.5,13.06,1.0809797297297299,0.08277027027027027,1,0,0,55.9327603145241,4.017813643188644,16.406722722661875,1.110334293399945,0,0
LIFT_075,2018-06-01 00:00:00.000 +0300,"68497ce04e9b12cb402671a29acdf6a2",2018-06-06,free_shipping,p95_buffer,1,0.16712415540540504,1.8812964527027025,123.7475,20.71,1.7141722972972975,0.08277027027027027,2,0,0,55.9327603145241,4.017813643188644,16.406722722661875,1.110334293399945,0,0
LIFT_075,2018-06-01 00:00:00.000 +0300,d9ad5b8ce105bd3baced4648987fbbfc,2018-06-04,free_shipping,p95_buffer,1,0.026921717171716875,1.249583333333333,74.975,10.39,1.2226616161616162,0.11767676767676767,3,0,0,55.9327603145241,4.017813643188644,16.406722722661875,1.110334293399945,0,0
LIFT_075,2018-07-01 00:00:00.000 +0300,"633aa358e90a435dc47a30af5a0a832d",2018-07-26,free_shipping,p95_buffer,1,0.9685441919191913,3.0749583333333326,184.4975,17.9,2.1064141414141413,0.11767676767676767,1,0,0,49.673009997903144,7.363123907998908,24.580831625483214,1.3754634059242887,0,1
LIFT_075,2018-07-01 00:00:00.000 +0300,"070acf4df1234a6257809e4e79644481",2018-07-23,free_shipping,p95_buffer,1,0.8537626689189188,2.5464146959459457,167.4975,20.45,1.6926520270270269,0.08277027027027027,2,0,0,49.673009997903144,7.363123907998908,24.580831625483214,1.3754634059242887,0,1
LIFT_075,2018-07-01 00:00:00.000 +0300,"282d49fddab8e95a8673a2a90072cf5c",2018-07-05,free_shipping,p95_buffer,1,0.7942989864864862,2.2800253378378375,149.975,17.95,1.4857263513513512,0.08277027027027027,3,0,0,49.673009997903144,7.363123907998908,24.580831625483214,1.3754634059242887,0,1
LIFT_075,2018-07-01 00:00:00.000 +0300,d60483078c0c81748581f80d355bbcba,2018-07-14,free_shipping,p95_buffer,1,0.12459090909090875,1.1624999999999996,69.75,8.82,1.037909090909091,0.11767676767676767,4,0,0,49.673009997903144,7.363123907998908,24.580831625483214,1.3754634059242887,0,1
